impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K25-179620,A729987,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2951629,LOST,Scott,Cat,Over 1 year<p/>,Male,Siamese,White,"Jun 07, 2025",Date Lost,Brittany  Dr SW & SW Normandy Ter,Normandy Park,,98166,NORMANDY PARK,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2951629,Image Copyright HLP Inc. 2025,"Description: Flame tip Siamese. Blue eyes. Orange ears and tail tip. 10 pounds. 5 years old. Has colar with tag of address and phone number. Comes to his name consistently. Very friendly. Microchipped<p/>Age: Over 1 year<p/>Location Lost: Brittany Dr SW and Normandy Terrace , Seattle WA  98166<p/>Lost Date: 2025-06-07<p/>",
K25-180871,A731986,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2966121,In Public Home,,Cat,Under 1 year<p/>,Male,American Shorthair,Unknown,"Jul 14, 2025",Date Found,132nd  Ave SE & SE 248th St,Kent,,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2966121,Image Copyright HLP Inc. 2025,"Description: Grey kitten, yellow eyes<p/>Age: Under 1 year<p/>Found Near: 132nd street and SE 248th street, Kent WA  98030<p/>Found Date: 2025-07-14<p/>",
K25-179617,A729984,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2951592,LOST,Kiki,Dog,Over 1 year<p/>,Female,Lhasa Apso,Unknown,"Jun 09, 2025",Date Lost,308TH  AND MILITARY ROAD SOUTH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2951592,Image Copyright HLP Inc. 2025,"Description: 15 years old, 10 pounds, tri color lhasa apso, 3 legs, microchipped, no tag<p/>Age: Over 1 year<p/>Location Lost: 308th and military road south, Auburn WA  98001<p/>Lost Date: 2025-06-09<p/>",
K25-180316,A731141,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2958954,LOST,Pumpkin,Cat,Over 1 year<p/>,Male,Tiffany,Unknown,"Jun 24, 2025",Date Lost,48100 block of  SE 127TH ST,,,98045,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2958954,Image Copyright HLP Inc. 2025,"Description: Our cat is a big orange Tabby with a white chest, 12 years old. He has in the past not come home, he's been gone 5 days now. Male, 12 years old<p/>Age: Over 1 year<p/>Location Lost: 48102 SE 127TH ST, North Bend WA  98045<p/>Lost Date: 2025-06-24<p/>",
K25-180375,A731263,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A731263,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Abby,Dog,3 YEARS,Spayed Female,American Pit Bull Terrier / Mix,Brown / White,"Jul 01, 2025",Received on,S  277TH ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A731263,Image Copyright HLP Inc. 2025,"Received on: 2025-07-01<p/> Found Near: S  277TH ST<p/> Description: Brown / White Spayed Female American Pit Bull Terrier / Mix Dog<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-180741,A731814,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2964688,LOST,,Dog,Unknown<p/>,Unknown,Miniature Poodle,Brown,"Jul 10, 2025",Date Lost,KB  HOMES JENKINS LANDING 265TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2964688,Image Copyright HLP Inc. 2025,"Description: Small brown dog with short fluffy or curly fur. Maybe a short tail.<p/>Age: Unknown<p/>Location Lost: KB homes Jenkins landing 265th street, Kent WA  98042<p/>Lost Date: 2025-07-10<p/>",
K25-179690,A730114,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2952229,LOST,Ellie,Dog,Over 1 year<p/>,Female,Shih Tzu,White,"Jun 11, 2025",Date Lost,2400 block of  S 272nd St,Kent,,98003,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2952229,Image Copyright HLP Inc. 2025,"Description: She is a white shitzu, with a little tan spot on her back and black ears. She has no Collier on.  She is a little over a year old and is very sweet. Onher belly (well all over her skin) she has freckles. <p/>Age: Over 1 year<p/>Location Lost: 2411 South 272nd Street, Kent WA  98032<p/>Lost Date: 2025-06-11<p/>",
K25-179074,A729211,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,Aeropostale,Rabbit Sh,NO AGE,Spayed Female,Rabbit Sh,Brown,"May 27, 2025",Received on,21615 64TH AVE S,KENT,WA,98032,SEATAC,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A729211,Image Copyright HLP Inc. 2025,"Received on: 2025-05-27<p/> Description: Brown Spayed Female Rabbit Sh Rabbit Sh<p/> Age: NO AGE<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi there! My name is Aeropostale and I'm a rabbit who is looking for a forever home. <p/><p/>I was brought in by a good samaritan on May 27, 2025.<p/><p/>I came in with Holister (A729210) we are a bonded pair and should be adopted together. <p/><p/>I am looking for someone who can provide me with plenty of love and attention. <p/><p/>When it comes to feeding me, I will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water! <p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. I am not meant to live in a cage all the time, so be sure you can provide me with time outside my enclosure at least once a day to stretch my legs, explore and exercise. Just be sure to bunny proof the space! Cleaning my cage and grooming are important for me too! <p/><p/>I am a gentle soul who likes to take things slow.<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>Come and visit me today, I'd love to go home with you!<p/>",
K25-180513,A731489,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2961770,In Public Home,Cinna,Dog,Over 1 year<p/>,Male,Pit Bull,Unknown,"Jul 04, 2025",Date Found,1200 block of  S PUGET DR,Renton,,98055,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2961770,Image Copyright HLP Inc. 2025,Description: Name Is cinna. Owners were contacted through the microchip company (24 hour pet watch). Just under 12 years old. <p/>microchip # 0A13535253<p/>Unable to contact owners.<p/>My friend is keeping him for a day before bringing him to raskc.<p/>Anyone missing this dog? <p/>Found at heritage Hill apartments in Renton. 1250 S Puget Dr.<p/>Looks like it has a cut under its chin (you can see some drops of blood in the photo on the front paw.<p/>Friendly. <p/>No collar.<p/>Age: Over 1 year<p/>Found Near: 1200 block of  S PUGET DR<p/>Found Date: 2025-07-04<p/>,
K25-181087,A732313,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2968306,LOST,Sprite,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jul 19, 2025",Date Lost,S  Austin St & Beacon Ave S,Seattle,,98108,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2968306,Image Copyright HLP Inc. 2025,"Description: My gray and white tuxedo cat named Sprite slipped out through my screen door the afternoon of Friday, 7/19 and is now missing. She was last seen near Austin St & Beacon Ave S in South Beacon Hill, Seattle. I am heartbroken and hope she comes home. If you see her, please contact me ASAP.<p/><p/>Details about Sprite:<p/><p/>Indoor-only cat, never been outside before<p/>Microchipped<p/>Gray and white tuxedo coloring<p/>One white paw and one gray paw (left side)<p/>No Collar<p/>Very friendly but likely scared and hiding<p/>Age: Over 1 year<p/>Location Lost: Austin St and Beacon Ave S, Seattle WA  98108<p/>Lost Date: 2025-07-19<p/>",
